name,fde_dim,bytes_per_doc,recall@1,recall@5,ndcg@5,mrr@10,sweep_s
colqwen2-maxsim (ceiling),128,385249.28,0.565,0.735,0.6599707129757226,0.6414503968253968,4.149592082976596
muvera[DE|k4|r4|c-],8192,32768.0,0.305,0.47,0.39141008246343434,0.3751765873015874,0.5577420839981642
muvera[DE|k4|r4|c32768],32768,131072.0,0.29,0.465,0.3820647312312915,0.3641011904761906,0.603293374995701
muvera[DE|k4|r4|c8192],8192,32768.0,0.28,0.45,0.3710401128738537,0.35598809523809544,0.9197460830037016
muvera[DE|k4|r4|c2048],2048,8192.0,0.24,0.405,0.332381800171693,0.3199404761904762,0.7436379170103464
muvera[DE|k4|r8|c-],16384,65536.0,0.305,0.525,0.42045024025455546,0.39235912698412706,1.3139662500179838
muvera[DE|k4|r8|c32768],32768,131072.0,0.28,0.5,0.40010995293237395,0.3759464285714288,1.3057565840135794
muvera[DE|k4|r8|c8192],8192,32768.0,0.285,0.5,0.40037926821671216,0.37635912698412693,1.2567926660121884
muvera[DE|k4|r8|c2048],2048,8192.0,0.265,0.435,0.3540402884135985,0.3409444444444446,1.2689045419974718
muvera[DE|k6|r4|c-],32768,131072.0,0.37,0.5,0.43773099087788386,0.42792261904761913,0.6633767499879468
muvera[DE|k6|r4|c32768],32768,131072.0,0.355,0.495,0.42760078492771975,0.41624801587301585,0.7953694580064621
muvera[DE|k6|r4|c8192],8192,32768.0,0.305,0.445,0.3760723686378109,0.35867857142857157,0.8294142920058221
muvera[DE|k6|r4|c2048],2048,8192.0,0.14,0.29,0.2200801400424977,0.20987896825396832,0.7363114169856999
muvera[DE|k6|r8|c-],65536,262144.0,0.415,0.53,0.47408777744901687,0.46462500000000007,1.2248189170204569
muvera[DE|k6|r8|c32768],32768,131072.0,0.405,0.53,0.46848616332850634,0.4552261904761904,1.580770999978995
muvera[DE|k6|r8|c8192],8192,32768.0,0.325,0.49,0.4155983869709063,0.39603373015873017,1.4792500410112552
muvera[DE|k6|r8|c2048],2048,8192.0,0.2,0.395,0.300933259303637,0.278218253968254,1.4982169999857433
muvera[DE|k8|r4|c-],131072,524288.0,0.435,0.56,0.49948742930599643,0.4877123015873016,1.6054252920148429
muvera[DE|k8|r4|c32768],32768,131072.0,0.335,0.49,0.4185814060199879,0.40081150793650816,2.1347877500229515
muvera[DE|k8|r4|c8192],8192,32768.0,0.21,0.355,0.2864872537662519,0.2739226190476191,2.362348666007165
muvera[DE|k8|r4|c2048],2048,8192.0,0.035,0.175,0.10607236863781093,0.09651785714285714,2.045589082990773
muvera[DE|k8|r8|c-],262144,1048576.0,0.45,0.57,0.5151187256939065,0.5091428571428573,3.4104981670097914
muvera[DE|k8|r8|c32768],32768,131072.0,0.38,0.515,0.4500504577750985,0.4344861111111111,4.848976209003013
muvera[DE|k8|r8|c8192],8192,32768.0,0.175,0.39,0.28960886249462875,0.26591071428571444,4.558406875003129
muvera[DE|k8|r8|c2048],2048,8192.0,0.035,0.11,0.07534674783211037,0.07633730158730156,4.599184708000394
muvera[CA|k4|r4|c-],8192,32768.0,0.32,0.53,0.4302669996570444,0.40348214285714284,0.9529730000067502
muvera[CA|k4|r4|c32768],32768,131072.0,0.325,0.51,0.4248108247581594,0.4041984126984127,0.8987566670111846
muvera[CA|k4|r4|c8192],8192,32768.0,0.3,0.49,0.3980866420940039,0.37555952380952384,0.7110787090205122
muvera[CA|k4|r4|c2048],2048,8192.0,0.245,0.365,0.31255949515727566,0.31223611111111127,0.6887621670030057
muvera[CA|k4|r8|c-],16384,65536.0,0.33,0.53,0.43548882590596405,0.41203769841269855,1.2488965000084136
muvera[CA|k4|r8|c32768],32768,131072.0,0.315,0.545,0.43510362304492234,0.4026527777777779,1.4549293750023935
muvera[CA|k4|r8|c8192],8192,32768.0,0.32,0.505,0.4161433440513441,0.39852182539682546,1.3298701659950893
muvera[CA|k4|r8|c2048],2048,8192.0,0.275,0.425,0.3487232194731972,0.33825396825396836,1.3547125830082223
muvera[CA|k6|r4|c-],32768,131072.0,0.395,0.55,0.47492295931965955,0.4585476190476191,0.7613200409978162
muvera[CA|k6|r4|c32768],32768,131072.0,0.37,0.495,0.43893073072434624,0.4312123015873015,1.0020866249979008
muvera[CA|k6|r4|c8192],8192,32768.0,0.32,0.455,0.3914899612609771,0.380654761904762,0.9244977920025121
muvera[CA|k6|r4|c2048],2048,8192.0,0.155,0.305,0.23019860111575938,0.22058730158730164,1.0651435830222908
muvera[CA|k6|r8|c-],65536,262144.0,0.395,0.575,0.49060729035491596,0.4729345238095237,1.6188577499997336
muvera[CA|k6|r8|c32768],32768,131072.0,0.365,0.53,0.4544165878906305,0.4389285714285714,1.9716578340157866
muvera[CA|k6|r8|c8192],8192,32768.0,0.315,0.465,0.3931161937389257,0.38104166666666656,1.9197965420025866
muvera[CA|k6|r8|c2048],2048,8192.0,0.175,0.305,0.2485221754833572,0.240343253968254,1.8817050830111839
muvera[CA|k8|r4|c-],131072,524288.0,0.42,0.585,0.5071536440353214,0.48735317460317484,1.8572993749985471
muvera[CA|k8|r4|c32768],32768,131072.0,0.355,0.48,0.4252759064167442,0.41779563492063493,2.478483833023347
muvera[CA|k8|r4|c8192],8192,32768.0,0.215,0.365,0.2911136617839452,0.27662896825396827,2.7855515829869546
muvera[CA|k8|r4|c2048],2048,8192.0,0.055,0.175,0.11693439465865002,0.10756150793650791,2.3999889999977313
muvera[CA|k8|r8|c-],262144,1048576.0,0.435,0.62,0.5326807943477401,0.508406746031746,3.7919652499840595
muvera[CA|k8|r8|c32768],32768,131072.0,0.35,0.485,0.42401964352837646,0.41112896825396833,5.369361166987801
muvera[CA|k8|r8|c8192],8192,32768.0,0.185,0.34,0.2687619391227735,0.2574384920634921,5.260751291993074
muvera[CA|k8|r8|c2048],2048,8192.0,0.05,0.16,0.10532880706592365,0.09676785714285714,5.1681899999966845
