name,fde_dim,bytes_per_doc,recall@1,recall@5,ndcg@5,mrr@10,sweep_s
colqwen2-maxsim (ceiling),128,375523.84,0.825,0.945,0.895216675880113,0.8824781746031745,0.7563480410026386
muvera[DE|k4|r4|c-],8192,32768.0,0.67,0.845,0.7645440863460691,0.7466230158730157,0.38070070899266284
muvera[DE|k4|r4|c32768],32768,131072.0,0.69,0.825,0.7618365784706101,0.7522321428571427,0.4234410829958506
muvera[DE|k4|r4|c8192],8192,32768.0,0.655,0.82,0.7421033168827,0.7281765873015871,0.40923775000555906
muvera[DE|k4|r4|c2048],2048,8192.0,0.625,0.79,0.7100504577750981,0.6980238095238093,0.4091509170102654
muvera[DE|k4|r8|c-],16384,65536.0,0.715,0.84,0.78754788427854,0.7769206349206347,0.7594817079952918
muvera[DE|k4|r8|c32768],32768,131072.0,0.7,0.83,0.7730453523235594,0.7622896825396823,0.8189682499942137
muvera[DE|k4|r8|c8192],8192,32768.0,0.715,0.83,0.7767449581718546,0.7670119047619046,0.8294357079867041
muvera[DE|k4|r8|c2048],2048,8192.0,0.65,0.815,0.7395944134986904,0.7211507936507937,0.8701013750105631
muvera[DE|k6|r4|c-],32768,131072.0,0.75,0.845,0.8024409000858462,0.7965337301587302,0.47167945800174493
muvera[DE|k6|r4|c32768],32768,131072.0,0.735,0.855,0.8019551735420392,0.7914424603174605,0.565713499992853
muvera[DE|k6|r4|c8192],8192,32768.0,0.665,0.83,0.7570737686134682,0.74190873015873,0.5584874170017429
muvera[DE|k6|r4|c2048],2048,8192.0,0.465,0.695,0.587325273754097,0.5643214285714285,0.5551275000034366
muvera[DE|k6|r8|c-],65536,262144.0,0.77,0.87,0.8233738981445287,0.8144801587301588,0.9359750419971533
muvera[DE|k6|r8|c32768],32768,131072.0,0.75,0.855,0.8049615449710683,0.7942341269841269,1.10629887500545
muvera[DE|k6|r8|c8192],8192,32768.0,0.685,0.825,0.760246224149345,0.7474702380952379,1.0989650420087855
muvera[DE|k6|r8|c2048],2048,8192.0,0.5,0.73,0.6226188563163834,0.5973650793650793,1.1020040410076035
muvera[DE|k8|r4|c-],131072,524288.0,0.74,0.885,0.8187978172794564,0.8033869047619047,1.125491166007123
muvera[DE|k8|r4|c32768],32768,131072.0,0.725,0.865,0.7982051065429557,0.7825059523809524,1.46085000000312
muvera[DE|k8|r4|c8192],8192,32768.0,0.515,0.765,0.6516383692222825,0.6183194444444444,1.4463758339989
muvera[DE|k8|r4|c2048],2048,8192.0,0.225,0.395,0.3135634652538013,0.2993015873015873,1.4441739169997163
muvera[DE|k8|r8|c-],262144,1048576.0,0.75,0.895,0.8301484079613052,0.8119444444444447,2.2070536669925787
muvera[DE|k8|r8|c32768],32768,131072.0,0.695,0.86,0.7841588834850272,0.7625873015873015,2.875984875005088
muvera[DE|k8|r8|c8192],8192,32768.0,0.51,0.7,0.6144965973106506,0.5970595238095238,2.853781166006229
muvera[DE|k8|r8|c2048],2048,8192.0,0.2,0.37,0.29204408634606954,0.27864682539682556,2.8538618750026217
muvera[CA|k4|r4|c-],8192,32768.0,0.725,0.825,0.776498864644987,0.7681984126984125,0.41292770800646394
muvera[CA|k4|r4|c32768],32768,131072.0,0.715,0.83,0.7740464843028826,0.7628115079365078,0.4496295419958187
muvera[CA|k4|r4|c8192],8192,32768.0,0.705,0.82,0.765089043426507,0.7562519841269839,0.4446683339920128
muvera[CA|k4|r4|c2048],2048,8192.0,0.635,0.79,0.7212000010914168,0.7039007936507935,0.4425478749908507
muvera[CA|k4|r8|c-],16384,65536.0,0.725,0.835,0.782589043426507,0.7742321428571428,0.8171193329908419
muvera[CA|k4|r8|c32768],32768,131072.0,0.725,0.83,0.7803970749847313,0.7736845238095239,0.880704124996555
muvera[CA|k4|r8|c8192],8192,32768.0,0.685,0.815,0.7580839379749684,0.7518769841269841,0.8741457910073223
muvera[CA|k4|r8|c2048],2048,8192.0,0.64,0.78,0.7137295493606487,0.705809523809524,1.028581167003722
muvera[CA|k6|r4|c-],32768,131072.0,0.7,0.84,0.7750801400424971,0.7618174603174601,0.5218166250124341
muvera[CA|k6|r4|c32768],32768,131072.0,0.67,0.84,0.7613508519268031,0.7400555555555557,0.6243128749920288
muvera[CA|k6|r4|c8192],8192,32768.0,0.635,0.815,0.7333120907356495,0.7107063492063491,0.6137510830012616
muvera[CA|k6|r4|c2048],2048,8192.0,0.495,0.675,0.5859566116835841,0.5653670634920636,0.6147372499981429
muvera[CA|k6|r8|c-],65536,262144.0,0.735,0.84,0.7895233074626797,0.7801249999999998,1.0384348340012366
muvera[CA|k6|r8|c32768],32768,131072.0,0.725,0.83,0.7818365784706103,0.7738492063492063,1.2267764159914805
muvera[CA|k6|r8|c8192],8192,32768.0,0.685,0.82,0.7581458760063247,0.7442460317460317,1.2144655409938423
muvera[CA|k6|r8|c2048],2048,8192.0,0.5,0.685,0.6042927118279177,0.5877876984126985,1.215340416005347
muvera[CA|k8|r4|c-],131072,524288.0,0.735,0.875,0.8091174597164159,0.7925119047619047,1.2196485000022221
muvera[CA|k8|r4|c32768],32768,131072.0,0.68,0.855,0.7709332593036367,0.7484067460317462,1.5750901669962332
muvera[CA|k8|r4|c8192],8192,32768.0,0.595,0.735,0.6676420780738539,0.6535773809523809,1.5639098749961704
muvera[CA|k8|r4|c2048],2048,8192.0,0.25,0.415,0.3345736346153012,0.3241825396825398,1.559296000006725
muvera[CA|k8|r8|c-],262144,1048576.0,0.755,0.875,0.8193338709758845,0.8065059523809522,2.485458875002223
muvera[CA|k8|r8|c32768],32768,131072.0,0.74,0.845,0.7986199916713964,0.7882619047619046,3.1594914579909528
muvera[CA|k8|r8|c8192],8192,32768.0,0.57,0.735,0.6571006093879747,0.6430456349206349,3.1091390410001623
muvera[CA|k8|r8|c2048],2048,8192.0,0.215,0.42,0.32294120624806866,0.30192857142857144,3.083599208999658
