name,fde_dim,bytes_per_doc,recall@1,recall@5,ndcg@5,mrr@10,sweep_s
colqwen2-maxsim (ceiling),128,385249.28,0.565,0.72,0.6552580996487246,0.641795634920635,0.6586001670075348
muvera[DE|k4|r4|c-],8192,32768.0,0.305,0.485,0.3985634652538012,0.37864880952380964,0.40969674999359995
muvera[DE|k4|r4|c32768],32768,131072.0,0.3,0.475,0.3920647312312916,0.373246031746032,0.4362043329892913
muvera[DE|k4|r4|c8192],8192,32768.0,0.31,0.46,0.38833260499839445,0.3762142857142859,0.421978541999124
muvera[DE|k4|r4|c2048],2048,8192.0,0.26,0.415,0.34423605478784525,0.3309682539682541,0.4250945829990087
muvera[DE|k4|r8|c-],16384,65536.0,0.315,0.53,0.4260339136088792,0.39703373015873017,0.7820131250045961
muvera[DE|k4|r8|c32768],32768,131072.0,0.315,0.51,0.4171509365405959,0.39613095238095253,0.8370404169982066
muvera[DE|k4|r8|c8192],8192,32768.0,0.305,0.515,0.41282893768840084,0.38815079365079386,0.8349980420025531
muvera[DE|k4|r8|c2048],2048,8192.0,0.275,0.445,0.36342151780242454,0.3499563492063493,0.827859457989689
muvera[DE|k6|r4|c-],32768,131072.0,0.37,0.51,0.44643073072434647,0.43139285714285697,0.44181820799713023
muvera[DE|k6|r4|c32768],32768,131072.0,0.345,0.495,0.4284808823372228,0.41431547619047615,0.5486594579997472
muvera[DE|k6|r4|c8192],8192,32768.0,0.32,0.43,0.3820853794922038,0.37641865079365083,0.5335496669868007
muvera[DE|k6|r4|c2048],2048,8192.0,0.18,0.35,0.2667360514121551,0.24812301587301594,0.5333637500007171
muvera[DE|k6|r8|c-],65536,262144.0,0.405,0.53,0.47593326267932695,0.4655992063492063,0.88313754099363
muvera[DE|k6|r8|c32768],32768,131072.0,0.405,0.525,0.4723403764030812,0.46039285714285705,1.0578234590066131
muvera[DE|k6|r8|c8192],8192,32768.0,0.335,0.5,0.42319620315894596,0.40328968253968256,1.0518244590057293
muvera[DE|k6|r8|c2048],2048,8192.0,0.19,0.405,0.3023314696433816,0.273138888888889,1.0500172500032932
muvera[DE|k8|r4|c-],131072,524288.0,0.43,0.57,0.5059924932159577,0.4915119047619047,0.9495762500009732
muvera[DE|k8|r4|c32768],32768,131072.0,0.335,0.53,0.4403765607219867,0.41560912698412705,1.299557916005142
muvera[DE|k8|r4|c8192],8192,32768.0,0.21,0.38,0.2984745524497713,0.281859126984127,1.2884262919978937
muvera[DE|k8|r4|c2048],2048,8192.0,0.055,0.145,0.10297695378227463,0.09855158730158728,1.2835455000022193
muvera[DE|k8|r8|c-],262144,1048576.0,0.435,0.585,0.5133829321510157,0.4983392857142857,1.8898414590075845
