name,fde_dim,bytes_per_doc,recall@1,recall@5,ndcg@5,mrr@10,sweep_s
colqwen2-maxsim (ceiling),128,377635.84,0.86,0.96,0.9140285469123858,0.8992916666666667,0.7043515419936739
muvera[DE|k4|r4|c-],8192,32768.0,0.665,0.865,0.7760608917572427,0.7533452380952381,0.386090084008174
muvera[DE|k4|r4|c32768],32768,131072.0,0.67,0.86,0.7779359252567847,0.757456349206349,0.4263056250056252
muvera[DE|k4|r4|c8192],8192,32768.0,0.66,0.845,0.7632142745476095,0.7458928571428572,0.4148299170046812
muvera[DE|k4|r4|c2048],2048,8192.0,0.595,0.82,0.7166445651115667,0.6882261904761904,0.4265149169950746
muvera[DE|k4|r8|c-],16384,65536.0,0.685,0.865,0.7854834142922031,0.7660238095238096,0.8035042499977862
muvera[DE|k4|r8|c32768],32768,131072.0,0.685,0.85,0.7759808823372225,0.7606448412698412,0.8597609169955831
muvera[DE|k4|r8|c8192],8192,32768.0,0.68,0.86,0.7803173301853557,0.7607123015873016,0.8466523329989286
muvera[DE|k4|r8|c2048],2048,8192.0,0.675,0.85,0.7711110882873866,0.7506150793650793,0.852949958993122
muvera[DE|k6|r4|c-],32768,131072.0,0.685,0.88,0.7920351829620597,0.768456349206349,0.4496580840059323
muvera[DE|k6|r4|c32768],32768,131072.0,0.675,0.87,0.7841266277210699,0.7626269841269839,0.5371417920105159
muvera[DE|k6|r4|c8192],8192,32768.0,0.63,0.85,0.7556820187836525,0.7284285714285711,0.5303451670042705
muvera[DE|k6|r4|c2048],2048,8192.0,0.4,0.69,0.5581254923660571,0.5244702380952381,0.5322171250008978
muvera[DE|k6|r8|c-],65536,262144.0,0.735,0.885,0.8200478842785401,0.8043869047619048,0.882517124991864
muvera[DE|k6|r8|c32768],32768,131072.0,0.745,0.88,0.8214577054970198,0.8080396825396825,1.2523604999878444
muvera[DE|k6|r8|c8192],8192,32768.0,0.655,0.835,0.7572695349877151,0.7395813492063493,1.1425921659974847
muvera[DE|k6|r8|c2048],2048,8192.0,0.49,0.68,0.5942774785564565,0.5815436507936509,1.1928323329921113
muvera[DE|k8|r4|c-],131072,524288.0,0.69,0.865,0.7855067666721506,0.7636091269841269,1.1063757499941858
muvera[DE|k8|r4|c32768],32768,131072.0,0.625,0.805,0.7242271514038354,0.7024722222222222,1.4122549169987906
muvera[DE|k8|r4|c8192],8192,32768.0,0.45,0.675,0.5669848524337483,0.5478730158730158,1.42495054200117
muvera[DE|k8|r4|c2048],2048,8192.0,0.15,0.34,0.2525299435123538,0.2394761904761905,1.4224832500040065
muvera[DE|k8|r8|c-],262144,1048576.0,0.725,0.895,0.817438323213598,0.7963888888888888,2.1198551669949666
muvera[DE|k8|r8|c32768],32768,131072.0,0.665,0.83,0.7560312094898437,0.7396111111111112,2.8552248749911087
muvera[DE|k8|r8|c8192],8192,32768.0,0.46,0.725,0.5983803552787675,0.5639821428571428,2.8214837909908965
muvera[DE|k8|r8|c2048],2048,8192.0,0.21,0.395,0.3088894375782123,0.29383730158730165,2.845120666999719
muvera[CA|k4|r4|c-],8192,32768.0,0.695,0.855,0.7852670030327344,0.7697817460317461,0.4534691660082899
muvera[CA|k4|r4|c32768],32768,131072.0,0.695,0.88,0.7965053251549155,0.7727757936507936,0.482084292001673
muvera[CA|k4|r4|c8192],8192,32768.0,0.675,0.87,0.7864757768856836,0.763920634920635,0.4802230409986805
muvera[CA|k4|r4|c2048],2048,8192.0,0.625,0.81,0.7248521179042936,0.7054186507936506,0.48200529199675657
