name,fde_dim,bytes_per_doc,recall@1,recall@5,ndcg@5,mrr@10,sweep_s
colqwen2-maxsim (ceiling),128,312642.56,0.27,0.86,0.5936468420323129,0.5097738095238091,0.7274663330026669
muvera[DE|k4|r4|c-],8192,32768.0,0.215,0.695,0.47395460896989294,0.408531746031746,0.3402027079864638
muvera[DE|k4|r4|c32768],32768,131072.0,0.185,0.7,0.46938756548699784,0.4000039682539681,0.37766720799845643
muvera[DE|k4|r4|c8192],8192,32768.0,0.185,0.665,0.4463809294373242,0.38567063492063497,0.3737788339931285
muvera[DE|k4|r4|c2048],2048,8192.0,0.195,0.645,0.43202021093555293,0.37535515873015884,0.3668628340092255
muvera[DE|k4|r8|c-],16384,65536.0,0.21,0.705,0.47767228620685204,0.41021825396825407,0.6655875419965014
muvera[DE|k4|r8|c32768],32768,131072.0,0.24,0.695,0.48683710433620897,0.42787103174603175,0.7236394579958869
muvera[DE|k4|r8|c8192],8192,32768.0,0.22,0.68,0.4624081212913201,0.4009583333333332,0.7212711669999408
muvera[DE|k4|r8|c2048],2048,8192.0,0.195,0.655,0.4397132698150742,0.37599007936507944,0.7198352910054382
muvera[DE|k6|r4|c-],32768,131072.0,0.275,0.73,0.5176424733169757,0.45472023809523804,0.4053936669952236
muvera[DE|k6|r4|c32768],32768,131072.0,0.25,0.715,0.4992094752582932,0.43454761904761896,0.5090832499990938
muvera[DE|k6|r4|c8192],8192,32768.0,0.205,0.685,0.4571477093909917,0.3884305555555555,0.5000380419951398
muvera[DE|k6|r4|c2048],2048,8192.0,0.145,0.515,0.3429979939106188,0.2999226190476192,0.4978253750014119
muvera[DE|k6|r8|c-],65536,262144.0,0.265,0.76,0.5318783974823434,0.46393452380952355,0.8188057910010684
muvera[DE|k6|r8|c32768],32768,131072.0,0.27,0.74,0.5182288541660249,0.4541904761904762,1.0085330419969978
muvera[DE|k6|r8|c8192],8192,32768.0,0.225,0.71,0.48665927872814935,0.41994047619047614,0.9839446659898385
muvera[DE|k6|r8|c2048],2048,8192.0,0.18,0.555,0.3794967279331283,0.3358353174603177,0.9813232089945814
muvera[DE|k8|r4|c-],131072,524288.0,0.285,0.78,0.5568075560669774,0.4897361111111112,1.0477629160013748
muvera[DE|k8|r4|c32768],32768,131072.0,0.265,0.715,0.5028436513049833,0.44031944444444443,1.348987000004854
muvera[DE|k8|r4|c8192],8192,32768.0,0.2,0.53,0.37490257567939217,0.33637301587301605,1.3253134999977192
muvera[DE|k8|r4|c2048],2048,8192.0,0.1,0.31,0.2126215638111093,0.19104365079365085,1.3255475830083014
muvera[DE|k8|r8|c-],262144,1048576.0,0.265,0.79,0.5522521200871272,0.48007341269841264,1.99988604200189
muvera[DE|k8|r8|c32768],32768,131072.0,0.25,0.68,0.476709471882603,0.42121428571428576,2.661002542008646
muvera[DE|k8|r8|c8192],8192,32768.0,0.16,0.535,0.36028790916291137,0.312232142857143,2.649679042006028
muvera[DE|k8|r8|c2048],2048,8192.0,0.065,0.265,0.16781990368191402,0.14923412698412694,2.647958541987464
muvera[CA|k4|r4|c-],8192,32768.0,0.205,0.71,0.4769646027916483,0.41043253968253984,0.36133225000230595
muvera[CA|k4|r4|c32768],32768,131072.0,0.19,0.705,0.4659633368141579,0.39852976190476197,0.39825408400793094
muvera[CA|k4|r4|c8192],8192,32768.0,0.21,0.67,0.45701750681651765,0.4006369047619051,0.39317166700493544
muvera[CA|k4|r4|c2048],2048,8192.0,0.155,0.64,0.4127431276222182,0.34659325396825413,0.39300212499802
muvera[CA|k4|r8|c-],16384,65536.0,0.185,0.75,0.4875034946052788,0.4058313492063493,0.7179152500029886
muvera[CA|k4|r8|c32768],32768,131072.0,0.185,0.72,0.47524055412566,0.4024384920634921,0.781519207987003
muvera[CA|k4|r8|c8192],8192,32768.0,0.21,0.68,0.4632351840534767,0.4018095238095238,0.7765860409999732
muvera[CA|k4|r8|c2048],2048,8192.0,0.205,0.66,0.4415694476504286,0.37886904761904766,0.7767678749951301
muvera[CA|k6|r4|c-],32768,131072.0,0.235,0.75,0.5145831978630769,0.44206746031746036,0.44136670799343847
muvera[CA|k6|r4|c32768],32768,131072.0,0.185,0.725,0.478442822551413,0.4040873015873015,0.5398557919979794
muvera[CA|k6|r4|c8192],8192,32768.0,0.19,0.67,0.44310768222234787,0.37438690476190467,0.5327489580085967
muvera[CA|k6|r4|c2048],2048,8192.0,0.11,0.48,0.31149035650409956,0.27021825396825405,0.5322520000045188
muvera[CA|k6|r8|c-],65536,262144.0,0.26,0.76,0.5328177254284777,0.4673194444444443,0.886342625002726
muvera[CA|k6|r8|c32768],32768,131072.0,0.245,0.775,0.5252934547748391,0.4476031746031747,1.0699650830065366
muvera[CA|k6|r8|c8192],8192,32768.0,0.2,0.705,0.47071104739800584,0.40364880952380966,1.0636262079933658
muvera[CA|k6|r8|c2048],2048,8192.0,0.135,0.5,0.322689828354227,0.27601190476190496,1.0651599999982864
muvera[CA|k8|r4|c-],131072,524288.0,0.25,0.77,0.5291324345779526,0.45395039682539673,1.0677728330047103
muvera[CA|k8|r4|c32768],32768,131072.0,0.2,0.715,0.4764042818172717,0.40665873015873005,1.4275392910058144
muvera[CA|k8|r4|c8192],8192,32768.0,0.145,0.505,0.3340818428046875,0.2909186507936509,1.4169241670024348
muvera[CA|k8|r4|c2048],2048,8192.0,0.075,0.245,0.16560458286019075,0.1507599206349206,1.4178325829998357
muvera[CA|k8|r8|c-],262144,1048576.0,0.265,0.76,0.5312740758671075,0.4633412698412696,2.1874083330039866
muvera[CA|k8|r8|c32768],32768,131072.0,0.225,0.7,0.48157036592411934,0.417172619047619,2.877148125000531
muvera[CA|k8|r8|c8192],8192,32768.0,0.14,0.555,0.3613690539379448,0.30932539682539706,2.857294125002227
muvera[CA|k8|r8|c2048],2048,8192.0,0.03,0.245,0.14167952837024983,0.12029563492063489,2.92292825000186
